,x,z,y_rot,ind
0,0.0,0.0,0.0,"[-0.298019846367392, -0.886593183350777, -0.45342956615597174, 0.7622229165716006, -0.1443081376736126, 0.35827951171159533, -0.9647022198619979, -0.7908466026881329, 0.024804957139090034, -0.9857456181866862, 0.14109850401616364, 0.2081277712596139, 0.8172024556374964, 0.9186964157934867, 0.8832515711130018, 0.8973763691042433, 0.9846982173570804, 0.6409631306073185, 0.09550800097489143, -0.006659376377576853, 0.9535462179918825, 0.1857722112323299, -0.5541591206345495, 0.2027690498228778, -0.12949925620872338, 0.469076162837208, 0.3899802183208303, 0.10774112234450817, 0.9091747981585738, -0.4688402031428751, -0.9828570321625014, -0.9658730060959209, -0.5441776995988372, 0.8699437348309602, -0.5396980292528131, 0.6484488662717707]"
1,-0.006481486,0.0049257344,-0.058746338,"[-0.298019846367392, -0.886593183350777, -0.45342956615597174, 0.7622229165716006, -0.1443081376736126, 0.35827951171159533, -0.9647022198619979, -0.7908466026881329, 0.024804957139090034, -0.9857456181866862, 0.14109850401616364, 0.2081277712596139, 0.8172024556374964, 0.9186964157934867, 0.8832515711130018, 0.8973763691042433, 0.9846982173570804, 0.6409631306073185, 0.09550800097489143, -0.006659376377576853, 0.9535462179918825, 0.1857722112323299, -0.5541591206345495, 0.2027690498228778, -0.12949925620872338, 0.469076162837208, 0.3899802183208303, 0.10774112234450817, 0.9091747981585738, -0.4688402031428751, -0.9828570321625014, -0.9658730060959209, -0.5441776995988372, 0.8699437348309602, -0.5396980292528131, 0.6484488662717707]"
2,-0.014261101,0.009986366,-0.058654785,"[-0.298019846367392, -0.886593183350777, -0.45342956615597174, 0.7622229165716006, -0.1443081376736126, 0.35827951171159533, -0.9647022198619979, -0.7908466026881329, 0.024804957139090034, -0.9857456181866862, 0.14109850401616364, 0.2081277712596139, 0.8172024556374964, 0.9186964157934867, 0.8832515711130018, 0.8973763691042433, 0.9846982173570804, 0.6409631306073185, 0.09550800097489143, -0.006659376377576853, 0.9535462179918825, 0.1857722112323299, -0.5541591206345495, 0.2027690498228778, -0.12949925620872338, 0.469076162837208, 0.3899802183208303, 0.10774112234450817, 0.9091747981585738, -0.4688402031428751, -0.9828570321625014, -0.9658730060959209, -0.5441776995988372, 0.8699437348309602, -0.5396980292528131, 0.6484488662717707]"
3,-0.021279981,0.013791729,-0.029541016,"[-0.298019846367392, -0.886593183350777, -0.45342956615597174, 0.7622229165716006, -0.1443081376736126, 0.35827951171159533, -0.9647022198619979, -0.7908466026881329, 0.024804957139090034, -0.9857456181866862, 0.14109850401616364, 0.2081277712596139, 0.8172024556374964, 0.9186964157934867, 0.8832515711130018, 0.8973763691042433, 0.9846982173570804, 0.6409631306073185, 0.09550800097489143, -0.006659376377576853, 0.9535462179918825, 0.1857722112323299, -0.5541591206345495, 0.2027690498228778, -0.12949925620872338, 0.469076162837208, 0.3899802183208303, 0.10774112234450817, 0.9091747981585738, -0.4688402031428751, -0.9828570321625014, -0.9658730060959209, -0.5441776995988372, 0.8699437348309602, -0.5396980292528131, 0.6484488662717707]"
4,-0.026522398,0.01659943,-0.0058288574,"[-0.298019846367392, -0.886593183350777, -0.45342956615597174, 0.7622229165716006, -0.1443081376736126, 0.35827951171159533, -0.9647022198619979, -0.7908466026881329, 0.024804957139090034, -0.9857456181866862, 0.14109850401616364, 0.2081277712596139, 0.8172024556374964, 0.9186964157934867, 0.8832515711130018, 0.8973763691042433, 0.9846982173570804, 0.6409631306073185, 0.09550800097489143, -0.006659376377576853, 0.9535462179918825, 0.1857722112323299, -0.5541591206345495, 0.2027690498228778, -0.12949925620872338, 0.469076162837208, 0.3899802183208303, 0.10774112234450817, 0.9091747981585738, -0.4688402031428751, -0.9828570321625014, -0.9658730060959209, -0.5441776995988372, 0.8699437348309602, -0.5396980292528131, 0.6484488662717707]"
5,-0.029767787,0.018973619,-0.02142334,"[-0.298019846367392, -0.886593183350777, -0.45342956615597174, 0.7622229165716006, -0.1443081376736126, 0.35827951171159533, -0.9647022198619979, -0.7908466026881329, 0.024804957139090034, -0.9857456181866862, 0.14109850401616364, 0.2081277712596139, 0.8172024556374964, 0.9186964157934867, 0.8832515711130018, 0.8973763691042433, 0.9846982173570804, 0.6409631306073185, 0.09550800097489143, -0.006659376377576853, 0.9535462179918825, 0.1857722112323299, -0.5541591206345495, 0.2027690498228778, -0.12949925620872338, 0.469076162837208, 0.3899802183208303, 0.10774112234450817, 0.9091747981585738, -0.4688402031428751, -0.9828570321625014, -0.9658730060959209, -0.5441776995988372, 0.8699437348309602, -0.5396980292528131, 0.6484488662717707]"
6,-0.030791104,0.02133757,-0.09777832,"[-0.298019846367392, -0.886593183350777, -0.45342956615597174, 0.7622229165716006, -0.1443081376736126, 0.35827951171159533, -0.9647022198619979, -0.7908466026881329, 0.024804957139090034, -0.9857456181866862, 0.14109850401616364, 0.2081277712596139, 0.8172024556374964, 0.9186964157934867, 0.8832515711130018, 0.8973763691042433, 0.9846982173570804, 0.6409631306073185, 0.09550800097489143, -0.006659376377576853, 0.9535462179918825, 0.1857722112323299, -0.5541591206345495, 0.2027690498228778, -0.12949925620872338, 0.469076162837208, 0.3899802183208303, 0.10774112234450817, 0.9091747981585738, -0.4688402031428751, -0.9828570321625014, -0.9658730060959209, -0.5441776995988372, 0.8699437348309602, -0.5396980292528131, 0.6484488662717707]"
7,-0.02963388,0.02390219,-0.24151611,"[-0.298019846367392, -0.886593183350777, -0.45342956615597174, 0.7622229165716006, -0.1443081376736126, 0.35827951171159533, -0.9647022198619979, -0.7908466026881329, 0.024804957139090034, -0.9857456181866862, 0.14109850401616364, 0.2081277712596139, 0.8172024556374964, 0.9186964157934867, 0.8832515711130018, 0.8973763691042433, 0.9846982173570804, 0.6409631306073185, 0.09550800097489143, -0.006659376377576853, 0.9535462179918825, 0.1857722112323299, -0.5541591206345495, 0.2027690498228778, -0.12949925620872338, 0.469076162837208, 0.3899802183208303, 0.10774112234450817, 0.9091747981585738, -0.4688402031428751, -0.9828570321625014, -0.9658730060959209, -0.5441776995988372, 0.8699437348309602, -0.5396980292528131, 0.6484488662717707]"
8,-0.026783777,0.026256705,-0.42352295,"[-0.298019846367392, -0.886593183350777, -0.45342956615597174, 0.7622229165716006, -0.1443081376736126, 0.35827951171159533, -0.9647022198619979, -0.7908466026881329, 0.024804957139090034, -0.9857456181866862, 0.14109850401616364, 0.2081277712596139, 0.8172024556374964, 0.9186964157934867, 0.8832515711130018, 0.8973763691042433, 0.9846982173570804, 0.6409631306073185, 0.09550800097489143, -0.006659376377576853, 0.9535462179918825, 0.1857722112323299, -0.5541591206345495, 0.2027690498228778, -0.12949925620872338, 0.469076162837208, 0.3899802183208303, 0.10774112234450817, 0.9091747981585738, -0.4688402031428751, -0.9828570321625014, -0.9658730060959209, -0.5441776995988372, 0.8699437348309602, -0.5396980292528131, 0.6484488662717707]"
9,-0.02234552,0.029319432,-0.6967163,"[-0.298019846367392, -0.886593183350777, -0.45342956615597174, 0.7622229165716006, -0.1443081376736126, 0.35827951171159533, -0.9647022198619979, -0.7908466026881329, 0.024804957139090034, -0.9857456181866862, 0.14109850401616364, 0.2081277712596139, 0.8172024556374964, 0.9186964157934867, 0.8832515711130018, 0.8973763691042433, 0.9846982173570804, 0.6409631306073185, 0.09550800097489143, -0.006659376377576853, 0.9535462179918825, 0.1857722112323299, -0.5541591206345495, 0.2027690498228778, -0.12949925620872338, 0.469076162837208, 0.3899802183208303, 0.10774112234450817, 0.9091747981585738, -0.4688402031428751, -0.9828570321625014, -0.9658730060959209, -0.5441776995988372, 0.8699437348309602, -0.5396980292528131, 0.6484488662717707]"
